Total Population,Female Population,Male Population,Birth Rate,Death Rate,Male life expectancy,Female life expectancy,"School enrollment, primary","School enrollment, tertiary",Primary completion rate,Literacy rate,Year,Country
333287557.0,168266219.0,165021339.0,None,None,None,None,None,None,None,None,2022,USA
332031554.0,167550001.0,164481553.0,11.0,10.4,73.5,79.3,98.3054885864258,84.8550872802734,101.091278076172,None,2021,USA
331511512.0,167203010.0,164308503.0,10.9,10.3,74.2,79.9,100.305793762207,87.5676574707031,100.923667907715,None,2020,USA
328329953.0,165599805.0,162730147.0,11.4,8.7,76.3,81.4,100.981300354004,87.8887100219727,100.489051818848,None,2019,USA
326838199.0,164926348.0,161911851.0,11.6,8.678,76.2,81.2,101.256561279297,88.2991790771484,100.092697143555,None,2018,USA
325122128.0,164151818.0,160970309.0,11.8,8.638,76.1,81.1,101.821441650391,88.1673889160156,98.8321990966797,None,2017,USA
323071755.0,163224028.0,159847727.0,12.2,8.493,76.1,81.1,101.362861633301,88.8350524902344,None,None,2016,USA
320738994.0,162158414.0,158580581.0,12.4,8.44,76.3,81.2,100.299911499023,88.8894119262695,None,None,2015,USA
318386329.0,161084758.0,157301571.0,12.5,8.237,76.5,81.3,99.6733779907227,88.6268692016602,None,None,2014,USA
316059947.0,160034189.0,156025758.0,12.4,8.215,76.4,81.2,99.455436706543,88.7264175415039,None,None,2013,USA
313877662.0,159064447.0,154813215.0,12.6,8.102,76.4,81.2,None,None,None,None,2012,USA
311583481.0,158043988.0,153539494.0,12.7,8.073,76.3,81.1,None,None,None,None,2011,USA
309327143.0,156968302.0,152358841.0,13.0,7.995,76.2,81.0,None,None,None,None,2010,USA
306771529.0,155660194.0,151111335.0,13.5,7.9,76.0,80.9,None,None,None,None,2009,USA
304093966.0,154289840.0,149804127.0,14.0,8.1,75.6,80.6,None,None,None,None,2008,USA
301231207.0,152829130.0,148402076.0,14.3,8.0,75.5,80.6,None,None,None,None,2007,USA
298379912.0,151383683.0,146996229.0,14.3,8.1,75.2,80.3,None,None,None,None,2006,USA
295516599.0,149946323.0,145570277.0,14.0,8.3,75.0,80.1,101.8740234375,80.6348266601562,None,None,2005,USA
292805298.0,148594732.0,144210567.0,14.0,8.2,75.0,80.1,None,None,None,None,2004,USA
290107933.0,147242226.0,142865707.0,14.1,8.4,74.5,79.7,None,None,None,None,2003,USA
287625193.0,145972802.0,141652391.0,14.0,8.5,74.4,79.6,None,None,None,None,2002,USA
284968955.0,144625822.0,140343133.0,14.1,8.5,74.3,79.5,None,None,None,None,2001,USA
282162411.0,143251716.0,138910694.0,14.4,8.5,74.1,79.3,None,None,None,None,2000,USA
1417173173.0,685992675.0,731180498.0,None,None,None,None,108.145172119141,31.5712585449219,None,96.5358734130859,2022,IND
1407563842.0,681060412.0,726503429.0,16.419,9.448,65.756,68.886,99.3927230834961,30.3339195251465,None,None,2021,IND
1396387127.0,675389679.0,720997448.0,16.572,7.35,68.615,71.824,97.9693222045898,28.6502628326416,None,94.5999984741211,2020,IND
1383112050.0,668786993.0,714325057.0,17.049,6.71,69.525,72.395,96.1171264648438,27.8900737762451,None,None,2019,IND
1369003306.0,661854076.0,707149230.0,17.651,6.644,69.367,72.142,97.5932998657227,27.4211978912354,None,None,2018,IND
1354195680.0,654607791.0,699587889.0,17.911,6.593,69.159,71.856,None,26.8110084533691,None,None,2017,IND
1338636340.0,647012921.0,691623419.0,18.514,6.603,68.81,71.503,100.254035949707,26.2255764007568,None,None,2016,IND
1322866505.0,639323292.0,683543213.0,18.765,6.67,68.285,71.077,100.712768554688,26.173828125,None,None,2015,IND
1307246509.0,631697152.0,675549357.0,19.049,6.79,67.651,70.602,None,24.8983783721924,None,None,2014,IND
1291132063.0,623809180.0,667322883.0,19.935,6.96,66.961,70.083,102.517570495605,23.3749732971191,None,None,2013,IND
1274487215.0,615647779.0,658839435.0,20.421,7.118,66.324,69.592,107.770881652832,23.9132308959961,None,None,2012,IND
1257621191.0,607376801.0,650244390.0,20.945,7.267,65.765,69.106,103.955017089844,22.4931354522705,None,86.1448822021484,2011,IND
1240613620.0,599047591.0,641566029.0,21.438,7.385,65.327,68.645,106.551513671875,17.6703300476074,None,None,2010,IND
1223640160.0,590747758.0,632892402.0,21.934,7.479,64.962,68.215,106.916801452637,15.8814401626587,None,None,2009,IND
1206734806.0,582492785.0,624242020.0,22.276,7.558,64.654,67.786,108.311706542969,14.9149703979492,None,None,2008,IND
1189691809.0,574185530.0,615506279.0,22.713,7.642,64.365,67.342,107.923568725586,13.0294799804688,None,None,2007,IND
1172373788.0,565762395.0,606611392.0,23.22,7.743,64.053,66.891,None,11.4313297271729,None,81.130859375,2006,IND
1154638713.0,557161047.0,597477666.0,23.94,7.876,63.719,66.379,None,10.646369934082,None,None,2005,IND
1136264583.0,548274218.0,587990365.0,24.728,8.04,63.313,65.831,None,10.9266996383667,None,None,2004,IND
1117415123.0,539178882.0,578236241.0,25.375,8.188,62.981,65.287,100.774139404297,10.6157302856445,None,None,2003,IND
1098313039.0,529978166.0,568334873.0,26.082,8.363,62.573,64.729,93.0848770141602,10.1646900177002,None,None,2002,IND
1078970907.0,520679574.0,558291332.0,26.728,8.558,62.114,64.131,92.7808609008789,9.67014980316162,None,76.4256973266602,2001,IND
1059633675.0,511410095.0,548223581.0,27.001,8.701,61.754,63.639,93.3239517211914,9.45524024963379,None,None,2000,IND
1412175000.0,691528501.0,720646499.0,None,None,None,None,100.171730041504,71.9815521240234,None,None,2022,CHN
1412360000.0,691219627.0,721140373.0,7.52,7.18,75.463,81.155,99.4303970336914,67.3876190185547,None,None,2021,CHN
1411100000.0,690171848.0,720928153.0,8.52,7.07,75.305,81.058,99.0244293212891,62.2367782592773,None,99.8099975585938,2020,CHN
1407745000.0,688179990.0,719565010.0,10.41,7.09,75.298,80.816,98.2354125976562,57.2754402160645,None,None,2019,CHN
1402760000.0,685468978.0,717291023.0,10.86,7.08,75.046,80.637,98.1703567504883,54.0076217651367,None,None,2018,CHN
1396215000.0,682006802.0,714208198.0,12.64,7.06,74.433,80.321,97.922119140625,51.5827713012695,None,None,2017,CHN
